ID,Name,Description,Activities,Operating Hours
B39C368F-CB27-49EC-B2A9-E6C1552430FB,California National Historic Trail,"Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.","Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Auto, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Museum Exhibits","The California National Historic Trail is not a clearly marked hiking trail. Instead it is a corridor that passes through communities, urban areas, public lands, and Wilderness. The route travels across a variety of land ownerships and management, including private land. Each location varies as to the hours of operation and access. Please contact individual trail sites before your visit for more information. | wednesday: All Day; monday: All Day; thursday: All Day; sunday: All Day; tuesday: All Day; friday: All Day; saturday: All Day"
7DC1050A-0DDE-4EF9-B777-3C9349BCC4DE,Crater Lake National Park,"Crater Lake inspires awe. Native Americans witnessed its formation 7,700 years ago, when a violent eruption triggered the collapse of a tall peak. Scientists marvel at its purity—fed by rain and snow, it’s the deepest lake in the USA and one of the most pristine on Earth. Artists, photographers, and sightseers gaze in wonder at its blue water and stunning setting atop the Cascade Mountain Range.","Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Boating, Boat Tour, Camping, Backcountry Camping, Car or Front Country Camping, RV Camping, Compass and GPS, Orienteering, Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Boat Tour, Hands-On, Citizen Science, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowmobiling, Snowshoeing, Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs","Crater Lake National Park is open year-round, 24 hours a day. Some roads, trails, and facilities, however, are closed seasonally due to snow. North Entrance Road, and West and East Rim Drives close for the season on November 1 (or earlier if there is significant snowfall). Crews begin removing snow from these roads in April, but opening dates vary. The North Entrance Road and West Rim Drive tend to open in early June. The East Rim Drive typically opens in early July. | wednesday: All Day; monday: All Day; thursday: All Day; sunday: All Day; tuesday: All Day; friday: All Day; saturday: All Day"
B13AB831-6806-4CBA-A93D-4E2FCC39F6F7,Fort Vancouver National Historic Site,"Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community.","Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Biking, Guided Tours, Living History, Reenactments, Historic Weapons Demonstration, Junior Ranger Program, Playground, Wildlife Watching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store","Standard operating hours for Vancouver, Washington facilities are Tuesday through Saturday, 9:00 a.m. to 4:00 p.m. | wednesday: 9:00AM - 4:00PM; monday: Closed; thursday: 9:00AM - 4:00PM; sunday: Closed; tuesday: 9:00AM - 4:00PM; friday: 9:00AM - 4:00PM; saturday: 9:00AM - 4:00PM"
07D9E506-B86A-4762-801F-2D333F369D5D,Ice Age Floods National Geologic Trail,"At the end of the last Ice Age, 18,000 to 15,000 years ago, an ice dam in northern Idaho created Glacial Lake Missoula stretching 3,000 square miles around Missoula, Montana. The dam burst and released flood waters across Washington, down the Columbia River into Oregon before reaching the Pacific Ocean. The Ice Age Floods forever changed the lives and landscape of the Pacific Northwest.","Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Junior Ranger Program","The Ice Age Floods National Geologic Trail is a collection of sites operated and owned by a variety of partners. , Hours of operation and season will vary from site to site. Please check each respective site for more details and information. | wednesday: All Day; monday: All Day; thursday: All Day; sunday: All Day; tuesday: All Day; friday: All Day; saturday: All Day"
B2577D2A-A33E-4DCF-B6F8-C299E1DFEC19,John Day Fossil Beds National Monument,"Large rhino-like brontotheres roam a semitropical forest. Dog-sized, three-toed horses dart between the trees. The cat-like nimravid and bear dogs stalk their prey. The climate cools and forests alter to dryer grasslands. Saber tooth cats and camels get replaced by mountain lions and deer. Paleontologists learn more about the ancient animals and environment with every new fossil they discover.","Hiking, Front-Country Hiking, Junior Ranger Program, Park Film, Museum Exhibits, Bookstore and Park Store","All outdoor recreation opportunities in the park are open daily, including all overlooks and hiking trails at the park’s three units: Sheep Rock, Painted Hills, and Clarno. | wednesday: All Day; monday: All Day; thursday: All Day; sunday: All Day; tuesday: All Day; friday: All Day; saturday: All Day"
5D443C5F-19A0-4A06-9CE4-30534A3DD81A,Lewis & Clark National Historic Trail,"The Lewis and Clark National Historic Trail winds nearly 4,900 miles through the homelands of more than 60 Tribal nations. It follows the historic outbound and inbound routes of the Lewis and Clark Expedition of 1803-1806 from Pittsburgh, Pennsylvania to the Pacific Ocean. Follow the trail to find the people, places, and stories that make up the complex legacy of the expedition.","Auto and ATV, Scenic Driving, Biking, Boating, Fishing, Guided Tours, Hiking, Living History, Junior Ranger Program, Snowshoeing, Wildlife Watching, Museum Exhibits, Shopping, Bookstore and Park Store","Lewis and Clark National Historic Trail Visitor Center is located on the Missouri River in Omaha, Nebraska. | wednesday: 8:30AM - 4:30PM; monday: 8:30AM - 4:30PM; thursday: 8:30AM - 4:30PM; sunday: 8:30AM - 4:30PM; tuesday: 8:30AM - 4:30PM; friday: 8:30AM - 4:30PM; saturday: 8:30AM - 4:30PM"
2666104A-6685-4F93-9412-8091007BEF6C,Lewis and Clark National Historical Park,Explore the timeless rainforests and majestic coastal vistas. Discover the rich heritage of the native people. Unfold the dramatic stories of America's most famous explorers. The park encompasses sites along the Columbia River and the Pacific Coast. Follow in the footsteps of the explorers and have an adventure in history.,"Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Hunting and Gathering, Gathering and Foraging, Living History, Historic Weapons Demonstration, Paddling, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs","Winter Hours:
Begin the day after Labor Day
Open 9 a.m. to 5 p.m. | wednesday: 9:00AM - 5:00PM; monday: 9:00AM - 5:00PM; thursday: 9:00AM - 5:00PM; sunday: 9:00AM - 5:00PM; tuesday: 9:00AM - 5:00PM; friday: 9:00AM - 5:00PM; saturday: 9:00AM - 5:00PM"
05F2A0A7-317D-4C4F-95D6-F046BE96310C,Nez Perce National Historical Park,"Since time immemorial, the valleys, prairies, mountains, and plateaus of the inland northwest have been home to the nimíipuu (Nez Perce) people. Extremely resilient, they survived the settling of the United States and adapted to a changed world. Nez Perce National Historical Park consists of 38 places important to the history and culture of the nimíipuu. Explore these places. Learn their stories.","Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Horse Trekking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs","Summer visitor center operating hours are 8:30 am - 4:00 pm daily. In the winter, the visitor center is open 5-days a week from Tuesday - Saturday from 8:30 am - 4:00 pm.  Closed Sunday and Monday.  The visitor center is closed Thanksgiving, Christmas, and New Year's days. | wednesday: unknown; monday: unknown; thursday: unknown; sunday: unknown; tuesday: unknown; friday: unknown; saturday: unknown"
480702B9-E8B5-45A1-ACB4-7B044C13F7A2,Oregon Caves National Monument & Preserve,"Deep within the Siskiyou Mountains are dark, twisting passages that await your discovery. Eons of acidic water seeping into marble rock created and decorated the wondrous “Marble Halls of Oregon.” Join a tour, get a taste of what caving is all about, and explore a mountain from the inside and out!","Camping, Car or Front Country Camping, RV Camping, Caving, Food, Dining, Picnicking, Guided Tours, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Hunting and Gathering, Hunting, Junior Ranger Program, Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs","Cave tours are suspended at this time. We do not have a current opening date but hope to resume by late spring. Please continue to check this website for updates. We apologize for any inconvenience this may cause.

Please call our Illinois Valley Visitor Center at 541-592-5125 if you have any questions. | wednesday: Closed; monday: Closed; thursday: Closed; sunday: Closed; tuesday: Closed; friday: Closed; saturday: Closed"
4E072F12-3E85-4219-B456-A8F04C688879,Oregon National Historic Trail,"Imagine yourself an emigrant headed for Oregon: would promises of lush farmlands and a new beginning lure you to leave home and walk for weeks? More than 2,000 miles of trail ruts and traces can still be seen along the Oregon National Historic Trail in six states and serve as reminders of the sacrifices, struggles, and triumphs of early American settlers.","Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Auto, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Museum Exhibits","The Oregon National Historic Trail is not a clearly marked hiking trail. Instead it is a corridor that passes through communities, urban areas, public lands and Wilderness. The route travels across a variety of land ownerships and management, including private land. Each location varies as to the hours of operation and access. Please contact trail sites before your visit for more information. | wednesday: All Day; monday: All Day; thursday: All Day; sunday: All Day; tuesday: All Day; friday: All Day; saturday: All Day"
